# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
       146   -1.7254000869e+01    1.9538592845e-01    2.6939135068e+03    2.6940000000e+03    3.3333333333e-01   -1.7255846205e+01    9.9487152390e-01    9.9962880475e-01
       147   -1.7260777908e+01    2.3920239623e-01    2.6940170146e+03    2.6940000000e+03    1.6666666667e-01   -1.7255658104e+01    9.9578248357e-01    9.9962880475e-01
       148   -1.7255413878e+01    2.1065370822e-01    2.6940373059e+03    2.6940000000e+03    1.6666666667e-01   -1.7255670029e+01    9.9620020361e-01    9.9925760950e-01
       149   -1.7261558910e+01    2.2663252525e-01    2.6940378112e+03    2.6940000000e+03    1.6666666667e-01   -1.7255819775e+01    9.9600831790e-01    9.9962880475e-01
       150   -1.7255840408e+01    2.0368614439e-01    2.6940365432e+03    2.6940000000e+03    1.6666666667e-01   -1.7255856250e+01    9.9609901886e-01    9.9962880475e-01
       151   -1.7264392434e+01    2.4258252249e-01    2.6940506835e+03    2.6940000000e+03    1.6666666667e-01   -1.7256011786e+01    9.9598842004e-01    1.0000000000e+00
       152   -1.7260146974e+01    2.1670493075e-01    2.6950728974e+03    2.6950000000e+03    1.6666666667e-01   -1.7256422494e+01    9.9677716119e-01    9.9925788497e-01
       153   -1.7259084281e+01    1.9705235846e-01    2.6960344979e+03    2.6960000000e+03    1.6666666667e-01   -1.7256992930e+01    9.9667439954e-01    9.9962908012e-01
       154   -1.7266862207e+01    1.9797002300e-01    2.6960753378e+03    2.6960000000e+03    1.6666666667e-01   -1.7257106371e+01    9.9538323915e-01    9.9888724036e-01
       155   -1.7251489414e+01    2.3639091736e-01    2.6960400806e+03    2.6960000000e+03    3.3333333333e-01   -1.7257196366e+01    9.9592012795e-01    9.9925816024e-01
       156   -1.7241462304e+01    3.3732422011e-01    2.6988383390e+03    2.6990000000e+03    5.0000000000e-01   -1.7258534178e+01    9.9487670794e-01    9.9925898481e-01
       157   -1.7241487644e+01    4.6366543418e-01    2.6997613799e+03    2.7000000000e+03    3.3333333333e-01   -1.7258852673e+01    9.9512359819e-01    1.0000000000e+00
       158   -1.7242636351e+01    2.0366504348e-01    2.7027551110e+03    2.7030000000e+03    1.6666666667e-01   -1.7259740132e+01    9.9603103432e-01    9.9889012209e-01
