#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        62   -1.7263562550e+01    2.9826556298e+02   -3.0883310620e+01    1.3619748070e+01   -5.6867862420e+01    1.9324705405e+00    1.7071318013e+01    6.9807632464e+00    2.6753000000e+04    2.7968220517e-01    9.9741156540e-01
        63   -1.7254548895e+01    2.9796555658e+02   -3.0934006680e+01    1.3679457785e+01   -5.6821803899e+01    1.8540432851e+00    1.7052990688e+01    6.9807632464e+00    2.6709000000e+04    2.7731862333e-01    9.9733224950e-01
        64   -1.7257287873e+01    2.9806939045e+02   -3.0798723616e+01    1.3541435744e+01   -5.6749065406e+01    1.9257179932e+00    1.7043860550e+01    6.9807632464e+00    2.6746000000e+04    2.7785810067e-01    9.9732692811e-01
        65   -1.7262493334e+01    2.9823609253e+02   -3.0715592295e+01    1.3453098961e+01   -5.6609270940e+01    1.8735451146e+00    1.7039370284e+01    6.9807632464e+00    2.6698000000e+04    2.7821329767e-01    9.9729381228e-01
        66   -1.7249699031e+01    2.9781047622e+02   -3.0736487127e+01    1.3486788096e+01   -5.6649934091e+01    1.8702496189e+00    1.7062434099e+01    6.9807632464e+00    2.6666000000e+04    2.7896906633e-01    9.9738481457e-01
        67   -1.7252008096e+01    2.9785434295e+02   -3.0749565902e+01    1.3497557806e+01   -5.6663327803e+01    1.8819921610e+00    1.7051006494e+01    6.9807632464e+00    2.6650000000e+04    2.7742654550e-01    9.9712032777e-01
        68   -1.7265995508e+01    2.9836400536e+02   -3.0864527858e+01    1.3598532350e+01   -5.6853695341e+01    1.9796574351e+00    1.7028746801e+01    6.9807632464e+00    2.6665000000e+04    2.7463898933e-01    9.9733726448e-01
        69   -1.7263252105e+01    2.9825422070e+02   -3.0759664309e+01    1.3496412204e+01   -5.6793878922e+01    2.0310617680e+00    1.7022389598e+01    6.9807632464e+00    2.6642000000e+04    2.7818212017e-01    9.9749891105e-01
        70   -1.7255295149e+01    2.9797965822e+02   -3.0803148420e+01    1.3547853271e+01   -5.6783507658e+01    1.9655196047e+00    1.7034076387e+01    6.9807632464e+00    2.6691000000e+04    2.7515602100e-01    9.9749001151e-01
        71   -1.7256795999e+01    2.9804736054e+02   -3.0809862418e+01    1.3553066419e+01   -5.6893193483e+01    2.0477954938e+00    1.7054772324e+01    6.9807632464e+00    2.6633000000e+04    2.7482883050e-01    9.9744672189e-01
        72   -1.7265259194e+01    2.9833237292e+02   -3.0840559918e+01    1.3575300724e+01   -5.6790774529e+01    1.9383911954e+00    1.7031060170e+01    6.9807632464e+00    2.6613000000e+04    2.7716045633e-01    9.9725299472e-01
        73   -1.7272249822e+01    2.9854591495e+02   -3.1000356861e+01    1.3728107039e+01   -5.6992541998e+01    1.9889650008e+00    1.7022456889e+01    6.9807632464e+00    2.6584000000e+04    2.7559280150e-01    9.9757816353e-01
        74   -1.7272565698e+01    2.9858566667e+02   -3.0947624093e+01    1.3675058395e+01   -5.6946650726e+01    2.0141249000e+00    1.7004138487e+01    6.9807632464e+00    2.6619000000e+04    2.7614624717e-01    9.9730402476e-01
        75   -1.7273951373e+01    2.9860776065e+02   -3.0951494348e+01    1.3677542975e+01   -5.6907773685e+01    1.9893145576e+00    1.6986201533e+01    6.9807632464e+00    2.6662000000e+04    2.7369690100e-01    9.9723842164e-01
        76   -1.7261513958e+01    2.9817949148e+02   -3.0705284535e+01    1.3443770576e+01   -5.6641373645e+01    1.9741172089e+00    1.6981208656e+01    6.9807632464e+00    2.6545000000e+04    2.7351284533e-01    9.9738335390e-01
        77   -1.7256546581e+01    2.9799898878e+02   -3.0709253194e+01    1.3452706613e+01   -5.6480469486e+01    1.8463990592e+00    1.6944053987e+01    6.9807632464e+00    2.6474000000e+04    2.7247350217e-01    9.9748397952e-01
